,county,precinct,office,district,party,candidate,votes
2,St_Joseph,HARRIS TWP 9,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,HARRIS TWP 9,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),1
3,St_Joseph,HARRIS TWP 9,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,147
3,St_Joseph,HARRIS TWP 9,UNITED STATES SENATOR,,REP,JIM BANKS,290
3,St_Joseph,HARRIS TWP 9,UNITED STATES SENATOR,,LIB,ANDREW HORNING,14
3,St_Joseph,HARRIS TWP 9,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,HARRIS TWP 9,ATTORNEY GENERAL,,DEM,DESTINY WELLS,159
0,St_Joseph,HARRIS TWP 9,ATTORNEY GENERAL,,REP,TODD ROKITA,293
1,St_Joseph,HARRIS TWP 9,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,195
1,St_Joseph,HARRIS TWP 9,COUNTY CORONER,,REP,PATRICIA JORDAN,259
2,St_Joseph,HARRIS TWP 9,COUNTY RECORDER,,DEM,SHARON BANICKI,152
2,St_Joseph,HARRIS TWP 9,COUNTY RECORDER,,REP,CANDACE BROWN,291
3,St_Joseph,HARRIS TWP 9,COUNTY SURVEYOR,,DEM,ED FISHER,150
3,St_Joseph,HARRIS TWP 9,COUNTY SURVEYOR,,REP,DEREK D DIETER,296
4,St_Joseph,HARRIS TWP 9,COUNTY TREASURER,,REP,MICHAEL ROSE,291
4,St_Joseph,HARRIS TWP 9,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,153
5,St_Joseph,HARRIS TWP 9,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,HARRIS TWP 9,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,18
5,St_Joseph,HARRIS TWP 9,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,285
5,St_Joseph,HARRIS TWP 9,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,151
6,St_Joseph,HARRIS TWP 9,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,141
6,St_Joseph,HARRIS TWP 9,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,304
7,St_Joseph,HARRIS TWP 9,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,153
7,St_Joseph,HARRIS TWP 9,STATE REPRESENTATIVE,5,REP,DALE DEVON,299
8,St_Joseph,HARRIS TWP 9,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,147
8,St_Joseph,HARRIS TWP 9,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,290
8,St_Joseph,HARRIS TWP 9,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,15
8,St_Joseph,HARRIS TWP 9,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,HARRIS TWP 9,MANIER - JUDICIAL RETENTION,,,YES,285
0,St_Joseph,HARRIS TWP 9,MANIER - JUDICIAL RETENTION,,,NO,78
1,St_Joseph,HARRIS TWP 9,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,GARY FOX,162
1,St_Joseph,HARRIS TWP 9,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,ART KLINGER,211
2,St_Joseph,HARRIS TWP 9,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,KATIE INABNIT BELL,212
2,St_Joseph,HARRIS TWP 9,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,DOUG CHAFFEE,140
2,St_Joseph,HARRIS TWP 9,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,JIM GARRETT,125
2,St_Joseph,HARRIS TWP 9,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,RYAN MCCULLOUGH,173
3,St_Joseph,HARRIS TWP 9,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,276
3,St_Joseph,HARRIS TWP 9,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,88
4,St_Joseph,HARRIS TWP 9,RETAIN JUSTICE DEREK READ MOLTER,,,YES,277
4,St_Joseph,HARRIS TWP 9,RETAIN JUSTICE DEREK READ MOLTER,,,NO,88
5,St_Joseph,HARRIS TWP 9,RETAIN JUSTICE LORETTA H. RUSH,,,YES,291
5,St_Joseph,HARRIS TWP 9,RETAIN JUSTICE LORETTA H. RUSH,,,NO,88
6,St_Joseph,HARRIS TWP 9,RETAIN JUSTICE MARK S. MASSA,,,YES,281
6,St_Joseph,HARRIS TWP 9,RETAIN JUSTICE MARK S. MASSA,,,NO,93
7,St_Joseph,HARRIS TWP 9,SANFORD - JUDICIAL RETENTION,,,YES,281
7,St_Joseph,HARRIS TWP 9,SANFORD - JUDICIAL RETENTION,,,NO,85
8,St_Joseph,HARRIS TWP 9,STEELE - JUDICIAL RETENTION,,,YES,289
8,St_Joseph,HARRIS TWP 9,STEELE - JUDICIAL RETENTION,,,NO,76
9,St_Joseph,HARRIS TWP 9,TELLOYAN - JUDICIAL RETENTION,,,YES,285
9,St_Joseph,HARRIS TWP 9,TELLOYAN - JUDICIAL RETENTION,,,NO,82
0,St_Joseph,HARRIS TWP 9,WOODS - JUDICIAL RETENTION,,,YES,289
0,St_Joseph,HARRIS TWP 9,WOODS - JUDICIAL RETENTION,,,NO,83
0,St_Joseph,HARRIS TWP 10,Ballots Cast,,,,732
1,St_Joseph,HARRIS TWP 10,Registered Voters,,,,1148
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,1
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,4
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,7
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,10
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,341
0,St_Joseph,HARRIS TWP 10,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,355
1,St_Joseph,HARRIS TWP 10,PUBLIC QUESTION #1,,,YES,340
1,St_Joseph,HARRIS TWP 10,PUBLIC QUESTION #1,,,NO,332
2,St_Joseph,HARRIS TWP 10,Straight Party,,DEM,DEMOCRATIC,196
2,St_Joseph,HARRIS TWP 10,Straight Party,,REP,REPUBLICAN,225
2,St_Joseph,HARRIS TWP 10,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,HARRIS TWP 10,Straight Party,,WTP,WE THE PEOPLE,1
2,St_Joseph,HARRIS TWP 10,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,HARRIS TWP 10,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,HARRIS TWP 10,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,334
3,St_Joseph,HARRIS TWP 10,UNITED STATES SENATOR,,REP,JIM BANKS,372
3,St_Joseph,HARRIS TWP 10,UNITED STATES SENATOR,,LIB,ANDREW HORNING,6
3,St_Joseph,HARRIS TWP 10,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,HARRIS TWP 10,ATTORNEY GENERAL,,DEM,DESTINY WELLS,343
0,St_Joseph,HARRIS TWP 10,ATTORNEY GENERAL,,REP,TODD ROKITA,372
1,St_Joseph,HARRIS TWP 10,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,319
1,St_Joseph,HARRIS TWP 10,COUNTY CORONER,,REP,PATRICIA JORDAN,391
2,St_Joseph,HARRIS TWP 10,COUNTY RECORDER,,DEM,SHARON BANICKI,346
2,St_Joseph,HARRIS TWP 10,COUNTY RECORDER,,REP,CANDACE BROWN,361
3,St_Joseph,HARRIS TWP 10,COUNTY SURVEYOR,,DEM,ED FISHER,345
3,St_Joseph,HARRIS TWP 10,COUNTY SURVEYOR,,REP,DEREK D DIETER,369
4,St_Joseph,HARRIS TWP 10,COUNTY TREASURER,,REP,MICHAEL ROSE,354
4,St_Joseph,HARRIS TWP 10,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,353
5,St_Joseph,HARRIS TWP 10,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,HARRIS TWP 10,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,12
5,St_Joseph,HARRIS TWP 10,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,352
5,St_Joseph,HARRIS TWP 10,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,354
6,St_Joseph,HARRIS TWP 10,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,317
6,St_Joseph,HARRIS TWP 10,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,398
7,St_Joseph,HARRIS TWP 10,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,354
7,St_Joseph,HARRIS TWP 10,STATE REPRESENTATIVE,5,REP,DALE DEVON,368
8,St_Joseph,HARRIS TWP 10,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,328
8,St_Joseph,HARRIS TWP 10,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,380
8,St_Joseph,HARRIS TWP 10,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,9
8,St_Joseph,HARRIS TWP 10,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,HARRIS TWP 10,MANIER - JUDICIAL RETENTION,,,YES,454
0,St_Joseph,HARRIS TWP 10,MANIER - JUDICIAL RETENTION,,,NO,123
1,St_Joseph,HARRIS TWP 10,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,GARY FOX,400
1,St_Joseph,HARRIS TWP 10,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,ART KLINGER,186
2,St_Joseph,HARRIS TWP 10,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,KATIE INABNIT BELL,399
2,St_Joseph,HARRIS TWP 10,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,DOUG CHAFFEE,171
2,St_Joseph,HARRIS TWP 10,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,JIM GARRETT,156
2,St_Joseph,HARRIS TWP 10,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,RYAN MCCULLOUGH,301
3,St_Joseph,HARRIS TWP 10,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,410
3,St_Joseph,HARRIS TWP 10,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,163
4,St_Joseph,HARRIS TWP 10,RETAIN JUSTICE DEREK READ MOLTER,,,YES,404
4,St_Joseph,HARRIS TWP 10,RETAIN JUSTICE DEREK READ MOLTER,,,NO,173
5,St_Joseph,HARRIS TWP 10,RETAIN JUSTICE LORETTA H. RUSH,,,YES,445
5,St_Joseph,HARRIS TWP 10,RETAIN JUSTICE LORETTA H. RUSH,,,NO,147
6,St_Joseph,HARRIS TWP 10,RETAIN JUSTICE MARK S. MASSA,,,YES,418
6,St_Joseph,HARRIS TWP 10,RETAIN JUSTICE MARK S. MASSA,,,NO,172
7,St_Joseph,HARRIS TWP 10,SANFORD - JUDICIAL RETENTION,,,YES,433
7,St_Joseph,HARRIS TWP 10,SANFORD - JUDICIAL RETENTION,,,NO,141
8,St_Joseph,HARRIS TWP 10,STEELE - JUDICIAL RETENTION,,,YES,447
8,St_Joseph,HARRIS TWP 10,STEELE - JUDICIAL RETENTION,,,NO,124
9,St_Joseph,HARRIS TWP 10,TELLOYAN - JUDICIAL RETENTION,,,YES,413
9,St_Joseph,HARRIS TWP 10,TELLOYAN - JUDICIAL RETENTION,,,NO,156
0,St_Joseph,HARRIS TWP 10,WOODS - JUDICIAL RETENTION,,,YES,448
0,St_Joseph,HARRIS TWP 10,WOODS - JUDICIAL RETENTION,,,NO,131
0,St_Joseph,HARRIS TWP 11,Ballots Cast,,,,809
1,St_Joseph,HARRIS TWP 11,Registered Voters,,,,1245
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,1
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,3
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,6
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,449
0,St_Joseph,HARRIS TWP 11,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,343
1,St_Joseph,HARRIS TWP 11,PUBLIC QUESTION #1,,,YES,359
1,St_Joseph,HARRIS TWP 11,PUBLIC QUESTION #1,,,NO,381
2,St_Joseph,HARRIS TWP 11,Straight Party,,DEM,DEMOCRATIC,163
2,St_Joseph,HARRIS TWP 11,Straight Party,,REP,REPUBLICAN,272
2,St_Joseph,HARRIS TWP 11,Straight Party,,LIB,LIBERTARIAN,0
2,St_Joseph,HARRIS TWP 11,Straight Party,,WTP,WE THE PEOPLE,0
2,St_Joseph,HARRIS TWP 11,Straight Party,,RED,INDIANA REDEMPTION PARTY,0
3,St_Joseph,HARRIS TWP 11,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,HARRIS TWP 11,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,323
3,St_Joseph,HARRIS TWP 11,UNITED STATES SENATOR,,REP,JIM BANKS,459
3,St_Joseph,HARRIS TWP 11,UNITED STATES SENATOR,,LIB,ANDREW HORNING,14
3,St_Joseph,HARRIS TWP 11,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,HARRIS TWP 11,ATTORNEY GENERAL,,DEM,DESTINY WELLS,338
0,St_Joseph,HARRIS TWP 11,ATTORNEY GENERAL,,REP,TODD ROKITA,444
1,St_Joseph,HARRIS TWP 11,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,297
1,St_Joseph,HARRIS TWP 11,COUNTY CORONER,,REP,PATRICIA JORDAN,479
2,St_Joseph,HARRIS TWP 11,COUNTY RECORDER,,DEM,SHARON BANICKI,312
2,St_Joseph,HARRIS TWP 11,COUNTY RECORDER,,REP,CANDACE BROWN,457
3,St_Joseph,HARRIS TWP 11,COUNTY SURVEYOR,,DEM,ED FISHER,310
3,St_Joseph,HARRIS TWP 11,COUNTY SURVEYOR,,REP,DEREK D DIETER,459
4,St_Joseph,HARRIS TWP 11,COUNTY TREASURER,,REP,MICHAEL ROSE,442
4,St_Joseph,HARRIS TWP 11,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,327
5,St_Joseph,HARRIS TWP 11,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,HARRIS TWP 11,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,10
5,St_Joseph,HARRIS TWP 11,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,443
5,St_Joseph,HARRIS TWP 11,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,343
6,St_Joseph,HARRIS TWP 11,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,306
6,St_Joseph,HARRIS TWP 11,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,467
7,St_Joseph,HARRIS TWP 11,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,346
7,St_Joseph,HARRIS TWP 11,STATE REPRESENTATIVE,5,REP,DALE DEVON,453
8,St_Joseph,HARRIS TWP 11,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,310
8,St_Joseph,HARRIS TWP 11,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,459
8,St_Joseph,HARRIS TWP 11,UNITED STATES REPRESENTATIVE,2,LIB,WILLIAM E. HENRY,11
8,St_Joseph,HARRIS TWP 11,UNITED STATES REPRESENTATIVE,2,WI,MICHAEL JOHN HUBBARD,0
0,St_Joseph,HARRIS TWP 11,MANIER - JUDICIAL RETENTION,,,YES,482
0,St_Joseph,HARRIS TWP 11,MANIER - JUDICIAL RETENTION,,,NO,146
1,St_Joseph,HARRIS TWP 11,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,GARY FOX,415
1,St_Joseph,HARRIS TWP 11,"PENN-HARRIS-MADISON SCHOOL BOARD, HARRIS",,NP,ART KLINGER,223
2,St_Joseph,HARRIS TWP 11,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,KATIE INABNIT BELL,387
2,St_Joseph,HARRIS TWP 11,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,DOUG CHAFFEE,231
2,St_Joseph,HARRIS TWP 11,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,JIM GARRETT,197
2,St_Joseph,HARRIS TWP 11,"PENN-HARRIS-MADISON SCHOOL BOARD, PENN",,NP,RYAN MCCULLOUGH,354
3,St_Joseph,HARRIS TWP 11,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,YES,474
3,St_Joseph,HARRIS TWP 11,RETAIN JUDGE RUDOLPH REGINALD PYLE III,,,NO,147
4,St_Joseph,HARRIS TWP 11,RETAIN JUSTICE DEREK READ MOLTER,,,YES,473
4,St_Joseph,HARRIS TWP 11,RETAIN JUSTICE DEREK READ MOLTER,,,NO,161
5,St_Joseph,HARRIS TWP 11,RETAIN JUSTICE LORETTA H. RUSH,,,YES,500
5,St_Joseph,HARRIS TWP 11,RETAIN JUSTICE LORETTA H. RUSH,,,NO,146
6,St_Joseph,HARRIS TWP 11,RETAIN JUSTICE MARK S. MASSA,,,YES,481
6,St_Joseph,HARRIS TWP 11,RETAIN JUSTICE MARK S. MASSA,,,NO,160
7,St_Joseph,HARRIS TWP 11,SANFORD - JUDICIAL RETENTION,,,YES,464
7,St_Joseph,HARRIS TWP 11,SANFORD - JUDICIAL RETENTION,,,NO,160
8,St_Joseph,HARRIS TWP 11,STEELE - JUDICIAL RETENTION,,,YES,483
8,St_Joseph,HARRIS TWP 11,STEELE - JUDICIAL RETENTION,,,NO,139
9,St_Joseph,HARRIS TWP 11,TELLOYAN - JUDICIAL RETENTION,,,YES,473
9,St_Joseph,HARRIS TWP 11,TELLOYAN - JUDICIAL RETENTION,,,NO,149
0,St_Joseph,HARRIS TWP 11,WOODS - JUDICIAL RETENTION,,,YES,488
0,St_Joseph,HARRIS TWP 11,WOODS - JUDICIAL RETENTION,,,NO,147
0,St_Joseph,HARRIS TWP 12,Ballots Cast,,,,850
1,St_Joseph,HARRIS TWP 12,Registered Voters,,,,1322
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,CLAUDIA DE LA CRUZ KARINA GARCIA,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,SUSAN MAUDE BUCHSER,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,NALA BAOZUN SCOTT JOHNSON JR,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,WILLIAM CODY NALBACH,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,CORNEL WEST MELINA ABDULLAH,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,SHONDRA IRVING,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,DOUG JENKINS,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,ANDRE RAMON MCNEIL SR.,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,PETER SONSKI,3
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,CAROL ASHER,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,PAIJ BORING,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,CHERUNDA LYNN FOX,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WI,TOM HOEFLING ANDY PRIOR,0
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,WTP,ROBERT F. KENNEDY JR. NICOLE SHANAHAN,4
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,LIB,CHASE OLIVER MIKE TER MAAT,7
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,REP,DONALD J. TRUMP JD VANCE,429
0,St_Joseph,HARRIS TWP 12,PRESIDENT OF THE UNITED STATES,,DEM,KAMALA D. HARRIS TIM WALZ,381
1,St_Joseph,HARRIS TWP 12,PUBLIC QUESTION #1,,,YES,392
1,St_Joseph,HARRIS TWP 12,PUBLIC QUESTION #1,,,NO,366
2,St_Joseph,HARRIS TWP 12,Straight Party,,DEM,DEMOCRATIC,195
2,St_Joseph,HARRIS TWP 12,Straight Party,,REP,REPUBLICAN,271
2,St_Joseph,HARRIS TWP 12,Straight Party,,LIB,LIBERTARIAN,1
2,St_Joseph,HARRIS TWP 12,Straight Party,,WTP,WE THE PEOPLE,1
2,St_Joseph,HARRIS TWP 12,Straight Party,,RED,INDIANA REDEMPTION PARTY,1
3,St_Joseph,HARRIS TWP 12,UNITED STATES SENATOR,,WI,PHILLIP D. BEACHY (PHIL),0
3,St_Joseph,HARRIS TWP 12,UNITED STATES SENATOR,,DEM,VALERIE MCCRAY,365
3,St_Joseph,HARRIS TWP 12,UNITED STATES SENATOR,,REP,JIM BANKS,457
3,St_Joseph,HARRIS TWP 12,UNITED STATES SENATOR,,LIB,ANDREW HORNING,16
3,St_Joseph,HARRIS TWP 12,UNITED STATES SENATOR,,WI,ANTONIO XAVIER ALVAREZ,0
0,St_Joseph,HARRIS TWP 12,ATTORNEY GENERAL,,DEM,DESTINY WELLS,381
0,St_Joseph,HARRIS TWP 12,ATTORNEY GENERAL,,REP,TODD ROKITA,454
1,St_Joseph,HARRIS TWP 12,COUNTY CORONER,,DEM,MICHAEL J. MCGANN,331
1,St_Joseph,HARRIS TWP 12,COUNTY CORONER,,REP,PATRICIA JORDAN,493
2,St_Joseph,HARRIS TWP 12,COUNTY RECORDER,,DEM,SHARON BANICKI,364
2,St_Joseph,HARRIS TWP 12,COUNTY RECORDER,,REP,CANDACE BROWN,455
3,St_Joseph,HARRIS TWP 12,COUNTY SURVEYOR,,DEM,ED FISHER,375
3,St_Joseph,HARRIS TWP 12,COUNTY SURVEYOR,,REP,DEREK D DIETER,451
4,St_Joseph,HARRIS TWP 12,COUNTY TREASURER,,REP,MICHAEL ROSE,452
4,St_Joseph,HARRIS TWP 12,COUNTY TREASURER,,DEM,MARY BETH WISNIEWSKI,367
5,St_Joseph,HARRIS TWP 12,GOVERNOR AND LIEUTENANT GOVERNOR,,WI,CHRISTOPHER RYAN STRIED,0
5,St_Joseph,HARRIS TWP 12,GOVERNOR AND LIEUTENANT GOVERNOR,,LIB,DONALD RAINWATER TONYA HUDSON,20
5,St_Joseph,HARRIS TWP 12,GOVERNOR AND LIEUTENANT GOVERNOR,,REP,MIKE BRAUN MICAH BECKWITH,448
5,St_Joseph,HARRIS TWP 12,GOVERNOR AND LIEUTENANT GOVERNOR,,DEM,JENNIFER G. MCCORMICK TERRY GOODIN,374
6,St_Joseph,HARRIS TWP 12,JUDGE OF PROBATE COURT,,DEM,JASON CICHOWICZ,336
6,St_Joseph,HARRIS TWP 12,JUDGE OF PROBATE COURT,,REP,LORIS PATRICK ZAPPIA,483
7,St_Joseph,HARRIS TWP 12,STATE REPRESENTATIVE,5,DEM,HEIDI BEIDINGER,404
7,St_Joseph,HARRIS TWP 12,STATE REPRESENTATIVE,5,REP,DALE DEVON,441
8,St_Joseph,HARRIS TWP 12,UNITED STATES REPRESENTATIVE,2,DEM,LORI A CAMP,357
8,St_Joseph,HARRIS TWP 12,UNITED STATES REPRESENTATIVE,2,REP,RUDY YAKYM,463
